# Iteration,# New_ICP_C1,# New_ICP_C2,# New_Table_C1,# New_Table_C2,# MD_ICP_C1,# MD_ICP_C2,# MD_Table_C1,# MD_Table_C2,# Reflected_Percentage_ICP,# Reflected_Percentage_Table
0,50,50,50,50,0,0,0,0,0,0
0,50,50,50,50,0,0,0,0,0,0
